,timestamp,aavegotchi,audius,decentraland,dodo,enjincoin,nftx,rarible,superfarm,superrare,the-sandbox,ethereum,axie-infinity,maker,1inch,sushi,aave,solana,matic-network,yield-guild-games
74,1636934400000,24091954.910312526,36964799.44177126,1384052400.024112,38509763.26979734,200674814.45258674,298677.043512913,1334963.9018789027,27371619.713222824,10276652.265670747,664246780.3640472,13927559432.546179,310680213.2065602,83184586.67517939,92744451.53732629,109438389.42581902,173647913.4231473,1611356876.8775847,519499651.70196795,31324226.007575635
75,1637020800000,21396099.07286368,22760165.83065833,1918705228.4448016,46437823.13765886,272240675.02998024,133419.72884313553,6939938.096282573,31032924.46967522,36900845.99773651,547420493.0950143,17939105212.670113,327047933.4302523,98180115.78291933,97553753.56472488,195154973.40352505,193678431.16688517,2359326721.661139,564295637.0357465,46264541.768745884
76,1637107200000,77183031.5919389,34102504.20707562,2689155279.184358,70332304.35973649,451563305.9856343,138064.16884261995,3069472.855326416,50492713.87430717,14186996.89241601,3043440017.4110565,30162258590.6919,540634562.9204128,98821822.17668876,158892332.13979125,322044066.66123277,330375883.72527254,3508776790.4518046,1105603669.5007496,64264011.65732377
77,1637193600000,46436882.35174456,30820210.15599089,2391035670.0726614,38661182.426702425,409388955.0933209,322297.4099172315,2460815.0217544674,32084002.45213632,18544890.38560503,3727154581.7183723,23532734478.929985,509159087.58333,92893333.77437276,112915747.05454785,220824682.43154868,262199521.63639387,2879294187.4798455,908121609.9123067,181771777.73822615
78,1637280000000,55244881.99755758,575227420.3334818,4445212122.634344,52015552.56549872,806769773.3618294,304977.8512904535,1928182.9725528252,78465871.89676203,140931487.06941816,5352747189.93519,23825764061.571724,635273272.205702,230942898.82505143,131904910.50805384,384052029.89822054,246971928.56549639,3731836544.9342785,853963403.1290841,511134003.0149687
79,1637366400000,63019124.35589078,60991379.57066186,4484259205.936748,34979517.74288728,1272849346.846091,147606.6424688617,2566891.7295246287,70854331.40924256,135397944.07798553,2090930710.2914722,21398451638.777546,426517325.72760034,86509914.16404602,118391200.58538577,214341081.72264484,172731126.99191374,3291840770.3925467,667015203.4912163,193964742.1904416
80,1637452800000,140152096.38528123,41876156.354034536,1804623892.0058959,42391336.68059208,960339017.4172187,223114.23300038048,1996109.9411787721,36588731.674541384,46727204.13425418,1160994137.6480973,16407598047.996004,407322221.91664934,86404827.83707853,116520777.95488517,195057383.6638514,153542835.1358236,1870041532.1098204,630936528.2247828,450813381.9387388
81,1637539200000,86400721.82253657,39042152.47908333,1757353542.090713,47787987.32884304,517140125.5543529,180580.92375952686,1242494.224731516,112026672.26059726,123158672.69565924,1431549083.4442153,15090104727.278082,589268215.2306731,79062676.69470327,185017358.4960013,210479597.05037874,152958029.3599336,2555181056.256027,474734003.2652456,280925970.24006873
82,1637625600000,54297748.55663844,43831537.64414671,2530347660.468317,38325037.02819098,624152691.7919508,165037.9595927007,1348850.1259861453,52255917.30427925,74369205.46205904,1956691687.9534502,21563803786.49851,394344028.3750173,75576833.23241666,134071522.09466061,254573578.2795604,191043762.48248953,3174537421.979065,612650422.3464819,152901819.4079066
83,1637712000000,67446400.46759237,225654517.88128954,2685214997.0013175,36699938.1411878,1041752943.6537216,438860.4169052914,1350941.6164097695,53905804.240239754,44664848.07114334,3182808782.9011292,23393688031.318764,487232887.4032307,103858978.89278497,163822241.101888,220622570.9907358,259920958.7773299,2144049180.216279,945784189.361622,192511324.99285957
84,1637798400000,95490901.19394794,123561236.42378035,6466176230.031782,41210708.860545,1673714986.5199442,123231.98267955417,2416816.610828185,39400957.536057055,45407098.763812706,6427538721.6277,19881953842.36485,735207688.017829,128645294.34679446,216992595.38059306,206442404.98444033,179721761.8175802,2339653646.046749,1132149654.4205937,228444538.29476562
85,1637884800000,156531548.56543568,53428169.01457272,6156064777.043666,44479296.15423793,1316143292.211752,152805.9933618742,1758504.0755301865,42771929.81966806,35980624.408318944,5782058839.276629,20241529505.687588,517287505.1798882,183073932.27521876,209135397.00446603,304079468.60975295,188252756.77428794,2227843775.4152346,1521105216.7159407,191912382.30922365
86,1637971200000,104086163.67672373,52497861.74275794,3374212207.9089217,59456663.72908659,843055184.1276156,320750.769355693,2012131.7975627638,48339451.65114498,39837123.92077482,3948099305.4327774,29276733766.839596,484360290.11302626,151864966.3296323,246709935.2361944,436160020.4685513,274672647.0126586,3216471568.33627,1536856084.2803836,138772450.77980742
87,1638057600000,49820979.87120554,84805966.63902125,1788257668.6074388,33772767.69239945,405941686.048742,271776.57308929577,2328150.9611510793,30735626.231884204,17841434.98217475,2133529020.1552682,16500509901.66011,206353165.2612589,87320398.94824365,94517784.25844224,166973201.05481938,115409793.62745582,1351630152.313059,685510512.4937776,72597358.8391132
88,1638144000000,54357319.35889392,43487976.47037389,2408491866.1445436,180916857.80333987,701496192.6321665,197942.12190555123,31304771.148993414,30607223.087776866,19858311.896013435,3800372599.808862,17408610005.868984,338700107.80159277,91159887.65954722,99922028.22694053,417363928.6592433,144775276.1088436,1935383257.029555,777867060.2934328,126881615.7794754
89,1638230400000,41307189.657938436,43067234.35916628,2018363944.5961356,87488953.08430469,508892271.5789769,146147.10578963705,15060728.07332449,48241231.687095575,20317650.465454586,2896414896.2979584,20150915710.995937,324084677.0101107,70092148.81806529,87794606.16233046,327265760.64210135,152577457.5960648,2007398408.756795,914802944.025664,98410936.96743605
90,1638316800000,50336368.5665,33111222.08007773,1849953280.0502894,85775946.76899467,365289520.73281264,889932.9300681915,4838579.816000727,48013899.71977879,37396857.61912489,1975258491.258553,31531135168.773865,352509886.11481375,202329346.2414171,116727963.60572366,287093368.07115424,258089072.06730467,2697160307.738946,1237372770.5679767,97450040.44164374
91,1638403200000,47662720.154117495,59937384.10639851,1610453742.36262,56726911.29610328,335745267.01513374,450555.18980177917,3325369.034132633,57348270.399084955,40103651.732887186,1475135296.5171187,27957934803.559887,380256187.32906103,84185410.42593884,495261958.9528481,257375728.46871442,186327309.5938436,3392086055.2374334,2158555695.3531327,310583445.6694396
92,1638489600000,57722155.87043454,34560022.68756491,1212578151.4325356,52541900.9306948,289391218.92411417,385553.3517264675,8811519.52824415,41295197.247548774,23359597.41681047,1771160054.8218777,22586539837.216267,252259196.5770347,75827016.71150836,171107494.40808523,198577575.3364287,140912170.3856153,3994513448.87254,3167108746.5097194,210991100.34366643
93,1638576000000,41786655.6456698,33536828.670199323,1234499376.4004858,63791160.26187163,345199095.82786024,142090.3073339959,5388466.596617005,32259899.787247054,21842838.357390426,1671517898.4002743,27620915094.003757,608666189.6182922,88146710.93653941,138727845.30119175,195741890.74969918,150584048.60365966,3755641183.1718,3890063142.8227224,94122644.30241205
94,1638662400000,72852971.59102218,49690204.59080725,3142871581.7764387,98207937.99613576,618698111.9776893,123333.48240093602,4400559.870560482,46347795.976153925,22835440.157353457,2764510619.4566994,40547950440.47308,718112945.5698955,174757945.2114073,284452938.0395671,542093572.7461408,450513568.5903143,5616789175.450751,3853578270.260187,127693548.52164169
95,1638748800000,42001505.527496904,25386486.235891007,1330452416.7627673,55416209.32796772,371979941.2612176,148704.53697118003,2209794.7572165597,27236764.77294363,12447701.103820648,1258163504.1905081,25848780907.958004,385281189.1864027,85631771.19596377,141943304.9115369,210301283.89397922,154051696.15443432,3228917298.9251223,2804950947.7761855,60469036.13664065
96,1638835200000,43023991.497780226,33589867.516581774,1491022976.299516,56290272.16901171,369335059.7091533,911951.2877792189,2703001.2343565584,182881604.2579447,42222642.955539815,1498545023.3276038,30676805365.753136,488278364.48081565,96462389.52809656,150806019.77744153,469907362.6902051,278825566.0292712,3396199570.300543,3813868724.1703095,75398561.25044248
97,1638921600000,36685400.666087374,24381946.455630835,1103961828.9268358,39495681.27431035,304123429.1757957,239907.46875968893,1932682.2336660305,162577516.3917338,39615027.88958085,897625907.3338082,21808603057.7599,303345131.258318,66337105.542748176,130019726.2014894,313835465.0192403,200366385.180522,2433284110.293539,4138945204.8782535,65540505.077192575
98,1639008000000,34734697.10787577,28926205.107474294,767258566.5763958,50419662.65256641,250391921.16950542,336648.3918071804,2117429.23552213,56597154.591726296,18536030.81774745,740601694.8756182,19661953642.45195,612682910.0038021,91746012.35672514,108605780.97218381,451777154.83259374,229109038.9458613,2194875795.1411276,3797939355.3430934,56046532.739203066
99,1639094400000,34509995.89871405,25914573.359810125,875368535.6060594,48870445.71221943,277893344.9615796,169198.0519857889,1965509.0807055538,40840838.50688359,14242776.797499873,1257577404.2892601,22680202938.506203,437968165.34721386,82394102.28535332,144424292.13428247,263887987.81449816,177251623.56768456,1858809298.6431613,3018083199.493719,62898512.821018405
100,1639180800000,39124489.86295554,39143330.31286349,613966751.4170442,32696740.51924424,219590137.9828516,165187.8015747552,2494094.626812424,39608030.33674721,11094802.414521283,886692571.4696935,26799083668.888447,245769717.44126034,76874677.47013177,104876671.87469444,217845455.409479,156591754.55638033,1946102466.4617343,2755667094.493426,50210900.7837568
101,1639267200000,31433724.39347426,12922252.326191021,437650293.5912896,26439509.095280297,157324037.00902432,322510.7430202166,1030751.8699787755,21239125.249831874,11343881.198473494,617072861.9093542,19796149221.596004,194683972.4575744,56857896.08874575,84028684.03628667,265176317.82045266,129805785.95455283,1791152660.6944845,1667003315.7949007,53677830.28773662
102,1639353600000,30422646.853165895,13526025.715720907,643884827.1616364,19475848.858729437,175237459.54806447,91614.989007585,1343989.5526436702,19583803.96266228,10841582.045845611,940734905.250478,14046344322.674688,139955708.71209693,49784535.88401764,58255558.7104338,127169676.7556246,77593659.91625641,1094395903.4166248,1086496631.3593671,39439448.284313805
103,1639440000000,35375727.18463201,17745852.60135152,529041671.1727525,30687831.759524427,184136680.59514123,629964.0516073261,1262854.8373257893,22989172.011829887,12072930.898895714,807266876.9577885,24089144863.40074,246594286.2496074,76612446.1415893,148080447.54232854,731937800.0651622,113562423.31594741,2372386156.3035607,1782335566.4425585,46575621.970131956
104,1639526400000,32992197.51607358,13273891.182250328,538605819.7345222,23361823.56340146,169028234.13645786,460188.96136613766,1420018.149387609,82898125.20224202,13691234.393113993,586038131.4829656,20766055169.54314,271756403.9623519,64346349.29198397,123154388.52946849,387879246.2018878,119559745.61599316,2156901491.5380054,1691049904.3849587,40159964.80555127
105,1639612800000,31762777.387414906,18579561.424969185,822789438.4859107,20311984.670841258,230112774.1539663,448435.29731515097,1738209.7319626808,127295832.93908224,15695649.934841288,1257755153.6563103,26881290260.577652,281548544.72878426,59325687.249093086,97759298.09204194,356164753.495113,148217054.61730933,3458991299.158227,2703718559.2497463,234399615.47008833
106,1639699200000,25481501.188031256,14238946.017283991,561575493.2061678,20430520.768780738,172657286.14714164,98968.96563176806,1252159.9854411941,28676477.299105685,11304146.060982743,938803970.5683985,19166579837.021267,191817756.7402783,47023606.638950214,81004210.947695,235176655.96363658,114349262.37102008,2454635867.467667,1810769562.570669,53438289.94183372
107,1639785600000,27057139.88574435,13724730.053669313,501364611.99322724,18827491.041275665,180324114.1931367,595585.834712023,1509980.0372977026,24851827.37658869,11477269.551481629,813571340.519398,23209497898.091805,242266673.27062374,57116455.903975256,107829161.9182539,200988794.69476905,190802931.14727297,2355530732.258781,1722320608.8808017,56045011.21056654
108,1639872000000,27951946.434522238,9588098.350427883,963402189.8158191,14296885.749522427,165400511.06612885,1163988.0194165432,1228733.63673699,15863781.44194311,10024967.909417683,789984540.4550244,18728700443.97014,177053945.48231024,71341471.88684805,92312553.36678281,235908746.4506067,457042724.9663345,1440763837.45392,1609788464.0428648,43653664.160934985
109,1639958400000,20738363.992625546,52839319.43223832,835561605.2760174,13776393.920936119,137551174.4413894,108142.74624881026,1103287.8195418592,13820579.319001,9504324.315193353,624084978.2795701,15960000522.484169,162002063.6858516,47792452.31711561,64961796.51715059,171010329.55837226,127812239.96705607,1441246078.159062,1288536628.7779953,38520930.41531936
110,1640044800000,23395981.489210304,24169587.632030617,725709959.0464998,18601957.74776095,153878330.4696943,615908.665962075,1412715.0248348634,34651883.25194088,12305453.582900066,608423324.5933086,21439121593.0351,213419739.78791294,64643156.70098209,70544977.11326909,154060416.5756325,156523307.6682285,1718453799.121433,1453123283.44519,42743702.07681372
111,1640131200000,22628844.31855598,14603676.324472679,601077456.6126639,18909990.41035167,168817922.26661664,450445.17560052755,1383702.2882728758,39084934.54950686,37856862.2693249,609616799.425828,16630181836.72027,263376932.34698614,47616282.34705734,52467158.30004305,206280219.522401,126640813.7473648,1539489579.1213927,1814671546.1665406,41400458.29347893
112,1640217600000,20475287.248321533,17661828.314397737,590381863.8217804,29775440.846309986,248558683.48019457,55822.89164072871,2128791.8753226954,27961842.318296716,14569436.09814908,617038400.6383309,14022344430.178228,319234821.77822846,62004298.095633954,98446632.92960362,374166233.3961072,375832955.3517681,1635078520.6954496,2724221988.7415934,62204112.097905956
113,1640304000000,27451362.444980603,22366930.149298284,1050264326.6425325,43400114.91863703,297976061.5735355,245231.5401909821,1683631.0258067355,39426171.019945726,17646381.78456304,1871169115.9126508,18571462177.267685,255860149.90265912,74620637.81043193,234382225.559811,729361699.0089573,761937451.7044742,1932687191.4099677,3050169715.423269,70393724.3140923
114,1640390400000,27688822.26084234,32646085.308411427,1038872770.423827,29909112.186325204,217832199.8538136,231763.07586764,2798223.715329144,34160503.02086257,15774529.114188652,1696609222.5548034,13351470832.627863,283311664.50788623,80454899.62131576,190107128.9707372,640260667.9471743,694256147.188158,1997417409.1442204,1648360280.7252176,57443723.57731758
115,1640476800000,20323374.757012803,21941392.871175587,827129852.7005938,17199889.198553253,415343583.20408684,110260.96640028019,1203822.4326960742,16216609.678845499,14755635.444786763,1940803689.0768847,11869342790.219467,299722907.12657595,53186291.505593605,100374791.61616355,404146051.8043891,408355965.73461187,1257985154.9824424,1303093441.4866714,76666780.91979794
116,1640563200000,22273426.943209898,46240847.78621707,773437161.943009,73011339.23565538,362573438.3265738,45184.863582734564,1224216.8933944504,14750439.920512334,13667898.29910655,1712192991.834951,11815773894.02084,205098591.24440113,79500332.93924823,92762624.22981316,377801372.3315293,368992041.9858944,1747475952.8078868,2504281799.0033894,52998718.228759535
117,1640649600000,20542411.678819533,42624071.8501034,729189031.3308018,45654908.207345195,249190561.85983756,975608.0838369118,1323123.915202631,33265339.563604373,42366747.84313595,1001387609.2912452,11725230819.88359,280731391.5863339,76388512.89558817,139717622.41718805,777855672.641286,492427443.09230834,1631730024.3256166,1657927182.8932157,44662704.43043967
118,1640736000000,31451111.211941402,36152334.65031838,968110538.8488026,58883311.44429074,299893432.9041142,651348.4344814062,1635888.2793154453,27879476.44390679,21409619.26562818,1579999838.8606794,18009599978.903225,310880881.167549,65755873.47318415,134841027.666426,1291710042.8392227,830743582.7070391,2541804765.839321,2282218908.622782,47061977.04096462
119,1640822400000,29625251.8580029,20782393.206266113,610800888.6375445,30431592.506857973,227713343.99433848,325386.86770691053,1688944.6604660274,14856139.256656146,13924548.284011718,1440917498.4527721,15528813680.462475,226448608.44004047,74081702.10091573,103450477.00497098,864228162.8792634,450806192.127334,1935535240.3698783,2002370442.2446234,31072850.00740303
120,1640908800000,27158449.587001946,13353140.807088695,427949152.42748034,32200908.92327814,177387872.5876483,32357.230327352674,1192296.286968623,12877589.89996063,12391018.032503579,1037474781.9972024,13445245167.227766,167354026.7615695,63985913.39821523,105767969.23088124,859727177.3859571,420979128.6569831,1379259729.504835,1598156998.1765075,34886383.144054525
121,1640995200000,27670591.040988274,25895043.10298828,480745099.7928227,25632594.575090624,208793197.65900108,457996.19623481645,1352961.9112798693,16686754.453191847,13999614.487050364,1075862735.8152368,14298378834.359474,185510782.6714202,70834903.79171942,83023957.34463549,580810886.8598155,438714174.2985532,1380634374.4823568,1473032170.9723058,30985319.871936735
122,1641081600000,21849423.207281504,13466647.495190067,232851233.1461017,13670349.676998522,113573118.50068422,640841.8995886252,12556028.410235915,11745661.314999513,8939300.065551592,587157079.4345766,9948120591.378103,180890193.87433952,58588262.160116695,63664895.368597776,354497530.45806086,259020483.64848027,960138212.5274444,901565380.2468783,35513392.59723669
123,1641168000000,20098911.035369664,15472705.856750574,253379905.34228832,39438099.988533884,260089835.68461582,1374549.6775124758,16771714.582400782,10834548.749753296,21088546.967252918,616120440.9317069,10069690529.898535,156245312.93167236,81900342.35767244,70742085.91494279,323166622.9756251,275815388.5615074,846802662.8993707,845096219.0563002,44608908.53911577
124,1641254400000,19763402.78725929,21627918.770837657,266259045.67085645,34855411.80967868,225343178.54510304,2362093.1576454835,3055274.578507202,11340531.592704348,12771278.85260185,694724181.1343693,12462872357.255108,205202064.5806762,74234027.50983243,107841424.62279913,414776179.9583237,506289703.07609946,1152100392.329671,1039708966.398375,31930132.083874904
125,1641340800000,21974463.981519926,17329586.045692597,334048355.8854276,37210774.66750626,212630207.20444328,1231378.4959693248,2658025.562722899,14543329.656252103,15321214.5680478,840423517.1803803,13853786397.222265,208202417.84609213,72494688.10453348,100789060.99512759,601707351.5082653,394924743.6127136,1361207424.18007,1231006375.874175,28744411.83836933
126,1641427200000,23627536.969744906,21209615.255828995,610606831.6805792,91485641.18004332,273568467.8865996,2535970.1286597503,2535905.618427758,50053475.38605779,55581405.56270094,1121104357.5474622,18782873941.21831,471296782.2679484,74416712.23188767,119417651.4368022,661271953.2566608,388652245.1637449,1980976064.6564603,1565734158.8901517,38913546.363132775
127,1641513600000,34144529.60522263,15474485.544038255,1694223776.0841491,50392480.82707473,342752006.27191126,1104055.8182365831,2286556.528626618,37317335.701601066,18623464.556289516,1419386480.7950203,24467182063.00624,393454113.411962,92658059.91756792,118895085.37617269,379550140.22349393,469796448.5561025,1922945442.8085198,1673500245.569265,48838445.17377925
128,1641600000000,36906116.49612982,13877290.29017614,1271813070.1920142,59140669.76514663,244968411.4913917,1978688.5212555367,3416944.791943304,38361802.44227118,15980641.490027362,1055968983.616336,24359369448.53183,358493100.1511265,75035824.00653483,141841734.12195325,537784201.0851258,366363784.1185966,2713161094.7767363,1612782707.6406837,58062202.87256899
129,1641686400000,31065085.319562983,11909480.572210122,501305700.32174015,29168598.18872515,170819908.6349788,388095.1208988951,6830027.257159119,26493742.580508363,13330601.657218779,651991773.62695,15966769090.792395,255147398.99996156,64404333.633525886,87244361.22962546,296198487.58741504,465135936.6741005,2495097582.9222703,1142035788.9658968,68744863.05665486
130,1641772800000,29104607.29077734,8442897.343885561,455217723.80779123,20447666.89593054,133534723.1192073,504931.65700846276,3051840.549505049,13517103.65070018,10662629.279120684,630519393.1322249,11906478540.265388,199184629.35192877,45188565.881725095,51521971.42162701,259061869.6858835,216086010.62900212,1383486991.2692618,959913993.4007967,42508887.75014651
131,1641859200000,32668103.457757328,12022112.284933412,584887796.0341573,35010967.4708307,193288378.7348908,878642.817128427,2182121.972523072,20247486.057213806,16729075.557490624,870170238.4006287,19655314714.55994,229027605.71601734,59201299.543182425,80498030.59469675,323310472.11516327,305689725.6337662,1797340432.3285239,1313466331.7614405,61804684.78561334
132,1641945600000,38719560.8678275,13917459.363145653,453090887.6550056,21866575.93552228,146182246.32849434,1243706.017862334,1955748.691800027,13637308.864521125,12678761.366967814,767545582.3803728,14922195360.075489,234698569.6447272,48592717.37464255,56960629.01474835,251514087.76908013,228554591.64146283,1407732234.4002852,1836928439.0101225,48972255.40599434
133,1642032000000,35145896.74014932,12331710.645392288,492767286.92585254,32356184.486888677,204939948.0270206,406597.4007287707,1942529.7081957292,56103604.68013291,10888534.193825847,999176105.8445052,15285972614.67417,271572011.9425425,51727758.560751945,62264748.401478946,319725285.6672342,212220473.8512825,2048461630.20183,1585527380.726668,85774316.7144024
134,1642118400000,32490706.76849914,14010519.99117245,431906930.05988,23719046.61474781,214102670.30180198,363262.287837122,1535871.6828204556,41499614.334253095,10171407.400465932,894687442.702382,13999771252.160748,216881199.88920784,49531754.72210148,267967882.02715477,393772595.5700571,253291422.73176232,1972169296.5769014,1292660031.633004,54448444.001009904
135,1642204800000,31584150.041291874,10581255.568781521,356379566.77431947,22864050.337342575,153678094.4163392,547297.4440842869,1173394.282518709,26162450.310974732,10567267.546370082,743651213.5741464,12316286854.849726,197154421.88485673,43372750.91562433,99955498.19322532,262700404.42216206,287182731.37187153,1627092109.7732365,1124945149.8734076,33028839.522726826
136,1642291200000,26856038.91735323,8356497.922097562,300544104.2709445,15373782.37267139,137300210.7474256,840065.7290424954,2458222.254271886,15344264.586875318,7867761.483825518,410649094.07667303,8659658467.059889,132281754.15272655,35125095.45665304,59305685.21417786,161969893.9428522,376892850.4617455,1003160676.7114657,827109143.5144129,22997982.84139284
137,1642377600000,27131561.822964262,7753065.138118506,483992461.6900237,14344952.190319987,123494940.74979202,1234684.8152409617,1353643.1398020661,11848707.188659174,7320921.771370944,548990884.6672703,9002833937.226437,513502642.0247678,36236347.926929824,85877988.70270237,148956750.34613538,304486839.80559516,1064526626.2870606,729386494.26768,21899721.990945153
138,1642464000000,30451873.186804038,11042431.265461855,460435886.96643513,15249397.65043109,127287264.88731773,217026.56460263798,1434208.9815132518,14724622.060135124,5977418.568250731,561937744.7167943,11938682376.103683,441729886.11715585,46291264.053809784,77014884.03221089,194253236.2880446,309060975.73753566,1342939698.2979736,1393207153.4715939,25056475.058892038
139,1642550400000,34037675.934152134,12333395.894833088,300080503.1737225,19200467.596037507,121389338.75611477,475231.26955234626,1565616.5543696498,20045150.65220556,6235309.099476601,524329963.4537266,12700158860.46528,239887676.54136384,43210024.010870844,71598382.44478266,178358426.70929828,497553874.44457966,1327500384.0270393,1259020744.1605184,27909705.962284386
140,1642636800000,34213031.586728975,10923045.017097402,270724098.7205465,17170949.63893736,152705660.2918554,339127.73920782027,5692779.808925417,15397449.59484531,5913512.24763007,514994142.7667154,12762451059.939085,186306820.328707,42681577.00844661,68484286.54190806,201076298.72314715,286217470.69137824,1310094891.479366,1125646614.9631975,28889628.12789293
141,1642723200000,26455005.891157392,12558304.6115653,332181746.3863837,23458853.907840215,136580306.88189837,388791.49759192124,1907464.6876355363,15015644.61986664,6213556.320018163,579321573.3861884,13389582889.566511,201820205.2344883,36517522.271957085,80849464.02911031,229055960.46738595,186248395.96232843,1371674053.2248023,1174166290.5782857,29883891.08638387
142,1642809600000,50971668.1167859,22406011.0128014,660244802.0013803,43113043.28021677,288585688.01193386,1184037.3230663438,1760244.526276669,27531236.64475654,9628291.134713452,1008364941.4655471,29314647992.596836,330134442.41897625,89679166.04365422,127638637.42038116,349505616.83730185,415851277.8704139,3853056390.3720913,2012752735.5415568,59685063.34046597
143,1642896000000,93191767.12866424,27300836.547361467,798999181.7960013,39734594.63638331,263624375.52259657,1549039.1679751077,2076474.9659030158,19665737.879407976,13510669.936848933,1308760396.8452659,28250265353.796116,383446077.0548212,227942925.3734854,126096273.38626537,393971732.94426847,362199953.60327864,4095835932.6350746,2097932010.1501844,62513791.11289556
144,1642982400000,28840708.326944325,13545734.956639795,458719364.6146653,17501924.131604202,186329326.28511924,683233.5343443989,2833950.5194000327,14096357.523491316,5809962.037797702,773874303.4069185,17123741957.54585,222360373.64827976,72255065.11751704,76609837.81490825,239703399.2363656,251536605.83087936,2611991894.5389414,1224532373.447187,38492795.51715257
145,1643068800000,40647644.54260561,19943532.542139377,571238797.341465,23935818.129806977,234883197.4404885,216443.72022625682,2857436.986491537,23222325.70022885,7018357.928302205,873719122.7842776,28735520619.97796,342441278.8617702,94294563.64757621,90452644.66242792,297719835.66205746,306968108.3777832,4359827042.558423,1858804226.505874,49138583.39605817
146,1643155200000,23397062.368618187,10944077.990847412,387502400.20469356,16094150.361707183,129964988.72826424,908625.7024055546,923783.8536748001,17709314.71596852,9354974.023606014,599618928.5977963,16139625164.237488,217618447.12567833,70372273.79980628,65793111.06272119,188147810.124954,194269541.2888219,2614011846.1962757,1277296575.0278482,31240505.956142616
147,1643241600000,33539650.235635914,15288312.070447318,657588529.1296755,23933469.069983106,243413733.43218005,935026.0331060627,982702.7723044942,19080795.167710785,7258919.0180434575,988456582.5569302,21415081805.12725,293191437.5472574,85201587.19008727,99106030.99124765,300852931.6660893,230630074.5738057,2847753595.488201,1911424364.4765062,57391671.37143617
