timestamp,aavegotchi,audius,decentraland,dodo,enjincoin,nftx,rarible,superfarm,superrare,the-sandbox,ethereum,axie-infinity,maker,1inch,sushi,aave,solana,matic-network,yield-guild-games
2021-11-13,138661748.93935412,1152496514.6181505,4353129627.877234,431690881.3683835,2870501681.7004704,51527275.48470654,109199306.04809564,487974556.7089334,214496386.8322793,2345512346.5969696,552938385233.9376,9408113334.553646,2595588706.9248786,753135191.6507336,2114600309.401216,4083742113.575069,69321107450.57858,11837980756.835754,534239100.4596805
2021-11-14,145531858.71872953,1210086042.050593,4346968149.486371,428269451.3112606,2865826310.642064,51061092.51359802,108591687.86290644,471781048.6037242,223674958.38420263,2523011294.16454,551228905630.0963,9409405660.536163,2838740430.778784,772544714.308935,2160981593.005851,4158586989.621771,72948327032.41917,12091367021.31937,559317713.2657348
2021-11-15,145067269.98950243,1279076230.826059,4270511387.0897617,416607373.5007464,2868868274.6602006,52029058.14154327,107912446.0526981,487812583.7728773,218962141.99277005,2517075215.2620854,546963335748.59625,9347127654.432089,2727553973.5843744,769267688.61067,2129488561.393592,4178752732.526543,72218517508.24437,11872506513.83257,561597951.3171982
2021-11-16,141854830.03933442,1210223915.8576574,4443865991.651088,413630731.191124,2836875880.982692,49313452.32898548,109632550.33548568,474695825.82416993,243852704.5978323,2522959918.5813565,541673876615.1028,9345954728.197292,2729294258.268729,759635259.437002,2013260432.856468,4022862510.313589,72198022029.53314,11711428553.07416,592359248.4850672
2021-11-17,145892666.3944569,1093629578.0568662,4357908083.618442,363320711.3906341,2681086029.406328,46307648.778398655,101755117.02813788,418814293.1377036,218286053.5448241,2921591323.653355,501391963927.7868,8807944959.940613,2545808395.153995,699846436.2969525,1876075359.3669903,3719606082.7212734,66832143637.96159,10814157731.105036,547893905.8752542
2021-11-18,149993329.87084708,1143289523.790491,4484147129.550149,358198617.0303205,2822963392.459182,47876581.56897932,101893783.25437406,420973799.5439812,227162268.2578512,3392230090.188556,507387229348.5558,8830005027.931633,2527478684.1557307,706266408.4532335,1869321007.1114528,3743204446.3891554,66086823807.616,11221942743.508957,681156415.3491012
2021-11-19,154517009.06172752,1069082185.0316004,4997563915.84511,325657160.0851055,2803001267.9851418,43886633.87617236,92193490.19613442,452520609.56312543,242681434.4804828,3918736106.951546,472465696561.2551,8114492137.209001,2530603719.024732,640552427.083729,1687875221.5267458,3464709921.0024176,59087558120.59309,10182370628.32447,752532186.146452
2021-11-20,168772743.63744593,1109185134.5566628,5722942867.961253,349357141.4808618,3384480175.7874684,46444888.95173236,99389497.39351869,497876715.5419017,275493223.0404504,3969366254.331551,509116804761.8423,8707228050.748833,2670687238.0752645,706980767.5412223,1734977875.484374,3702205169.39179,65296328677.09514,11105776807.769333,689415530.3112826
2021-11-21,206799212.76903504,1140103094.979377,5364618732.388208,370156015.0292614,3428537406.491328,48220275.22138302,104483574.45452766,502069850.32944447,274750982.9783664,3802320307.126969,524536655944.9339,8762708686.016687,2808737122.80322,722461714.5277315,1747583242.4975438,3648585319.600542,66281609248.12345,11522234127.490274,855740879.9939939
2021-11-22,189363592.2918567,1149227201.2535176,4970049880.814264,366198063.85688907,3138470537.9645348,46680309.84673674,102063090.54177132,532136029.105673,309917827.74144465,3645658148.354088,514388218179.7373,8744644039.860355,2707724663.1097937,732578927.081233,1712386125.0432982,3583004806.74605,71043502688.01355,11161692732.993208,751002259.3452332
2021-11-23,184817529.4971819,1048806258.769278,5386816772.693746,343913610.97212684,3317098432.087113,46102190.64540394,96072185.46767633,521382848.6414294,296458162.8757833,4386701531.406223,485391988431.9048,8433049989.941356,2572418328.6362743,689544332.7161819,1589566706.040234,3522878371.040861,65724676692.43798,10727662384.106283,690332314.5102798
2021-11-24,192263481.51115093,1458091596.8552706,5341582097.468733,361484145.1022798,3625675560.681476,47682723.87494011,104680235.5437078,548313631.1384789,265784131.74835253,4787676367.119769,515843824526.3967,9044477621.792562,2736994811.139639,731612719.9801258,1617386875.710508,3609410574.352757,67490798261.18599,12057215750.801483,772266433.1579937
2021-11-25,212512750.7514168,1300331753.913729,6800738651.152918,341760536.79918325,4207725664.058432,46936602.712150365,105038000.5137942,494473806.2052734,279011385.1026518,6605387993.36225,505609296276.3257,9240384826.36359,2789916847.0433187,723122129.1631955,1531247436.2223115,3411542523.3096623,62457339767.62576,11654226084.731457,787528031.4012274
